Pressure Altitude [ft],Condition,-20°C,0°C,10°C,20°C,30°C,40°C,50°C
0,Ground Roll,181,209,224,240,256,282,317
0,At 50 ft obstacle,283,327,350,376,401,442,500
1000,Ground Roll,194,224,240,257,275,302,340
1000,At 50 ft obstacle,303,350,375,402,430,474,536
2000,Ground Roll,208,240,257,276,294,324,364
2000,At 50 ft obstacle,325,375,402,431,460,508,574
3000,Ground Roll,223,257,275,296,316,347,391
3000,At 50 ft obstacle,348,402,431,463,494,545,616
4000,Ground Roll,239,276,295,317,339,373,419
4000,At 50 ft obstacle,374,432,462,496,530,585,661
5000,Ground Roll,256,296,317,340,363,400,450
5000,At 50 ft obstacle,401,463,496,533,569,627,709
6000,Ground Roll,275,318,341,366,390,430,483
6000,At 50 ft obstacle,431,498,533,572,611,674,761
7000,Ground Roll,302,349,373,401,428,471,530
7000,At 50 ft obstacle,472,545,584,627,669,739,835
8000,Ground Roll,331,382,409,439,469,516,581
8000,At 50 ft obstacle,517,598,639,687,734,810,915
9000,Ground Roll,366,423,453,486,519,572,643
9000,At 50 ft obstacle,573,663,709,762,813,897,1014
10000,Ground Roll,406,469,502,539,575,633,712
10000,At 50 ft obstacle,636,735,786,845,902,995,1124
